medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Zoladex 3.6 Injection,Prostate cancer. Breast cancer. Endometriosis. Uterine fibroids. Female infertility,Your doctor will decide what dose is necessary and how often you need to take it.,Consult a doctor,"Consult with your doctor, if this bothers you or does not go away.Before taking this medicine, inform your doctor if you have a history of drinking alcohol and diabetes. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to.Hot flashes is very common side effect of this medicine","Decreased libido, Erectile dysfunction, Depression, Headache, Dizziness, Nausea, High blood pressure, Breast atrophy, Pain during sexual intercourse, Hot flushes, Sexual dysfunction, Urinary tract disorder, Lethargy, Pain, Edema (swelling), Upper respiratory tract infection, Rash, Sweating, Decreased appetite, Chronic obstructive pulmonary disease (COPD), Heart failure, Insomnia (difficulty in sleeping), Vaginal inflammation, Emotional lability, Acne, Breast enlargement, Pelvic discomfort, Application site reactions (burning, irritation, itching and redness), Pain during periods, Uterine bleeding","Goserelin acetate (3.6mg), HORMONES"
Zoladex LA 10.8mg Injection,Prostate cancer,Your doctor will decide what dose is necessary and how often you need to take it.,Consult a doctor,"Consult with your doctor, if this bothers you or does not go away.Before taking this medicine, inform your doctor if you have a history of drinking alcohol and diabetes. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to.Hot flashes is very common side effect of this medicine","Bone weakness, Injection site reactions (pain, swelling, redness), Decreased libido, Erectile dysfunction, Depression, Headache, Dizziness, Nausea, High blood pressure, Breast atrophy, Pain during sexual intercourse, Hot flushes, Sexual dysfunction, Urinary tract disorder, Lethargy, Pain, Edema (swelling), Upper respiratory tract infection, Rash, Sweating, Decreased appetite, Chronic obstructive pulmonary disease (COPD), Heart failure, Insomnia (difficulty in sleeping), Vaginal inflammation, Emotional lability, Acne, Breast enlargement, Pelvic discomfort, Application site reactions (burning, irritation, itching and redness), Pain during periods, Uterine bleeding","Goserelin acetate (10.8mg), HORMONES"
Mahacef-Plus Tablet,Treatment of Bacterial infections,"It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy.",Consult a doctor,"If any of the side effects get aggravated, you must consult your doctor immediately","Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), Cefixime (200mg) + Ofloxacin (200mg), ANTI INFECTIVES"
Taxim OF Tablet,Treatment of Bacterial infections,"It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy.",Consult a doctor,"If any of the side effects get aggravated, you must consult your doctor immediately","Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), Cefixime (200mg) + Ofloxacin (200mg), ANTI INFECTIVES"
Zifi-O Tablet,Treatment of Bacterial infections,"It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy.",Consult a doctor,"If any of the side effects get aggravated, you must consult your doctor immediately","Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), Cefixime (200mg) + Ofloxacin (200mg), ANTI INFECTIVES"
Coliwin R Capsule,Treatment of Irritable bowel syndrome,It also promotes easy passage of gas to reduce stomach discomfort.Coliwin R Capsule is taken without food in a dose and duration as advised by the doctor.,Consult a doctor,"Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Lifestyle modifications like having fiber-rich diet, avoiding foods that trigger your symptoms, increasing fluid intake and regular exercise can help you to get better results. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, constipation, stomach pain, diarrhea, flatulence, dryness in mouth, blurred vision, coordination impaired, confusion, headache, flu-like symptoms, weakness, and difficulty in urination","Nausea, Constipation, Stomach pain, Diarrhea, Flatulence, Dryness in mouth, Blurred vision, Drowsiness, Impaired coordination, Confusion, Headache, Dizziness, Flu-like symptoms, Weakness, Difficulty in urination","Chlordiazepoxide (5mg), Clidinium (2.5mg), Chlordiazepoxide (5mg) + Clidinium (2.5mg) + Dicyclomine (10mg) + Rabeprazole (10mg), GASTRO INTESTINAL"
DO RE ME 25mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
Dothip 25mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
Dothip 50mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (50mg), NEURO CNS"
Dothip 75mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (75mg), NEURO CNS"
Dotin 25mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
Dozep 25mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
Dozep 50mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (50mg), NEURO CNS"
Dozep 75mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (75mg), NEURO CNS"
Elate 25mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
Prothiaden 50 Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (50mg), NEURO CNS"
Prothiaden 75 Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (75mg), NEURO CNS"
Prothiaden Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (25mg), NEURO CNS"
StayHappi Dosulepin/Dothiepin 50mg Tablet,"Treatment of Anxiety disorder. Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression","It can be taken with or without food, but you should take it at a fixed time each day for better efficacy.",Consult a doctor,"Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, and constipation. Do not skip any dose and finish the full course of treatment even if you feel better","Dryness in mouth, Increased heart rate, Orthostatic hypotension (sudden lowering of blood pressure on standing), Weight gain, Difficulty in urination, Constipation, Blurred vision","Dosulepin (50mg), NEURO CNS"
Fludrol Tablet,Addison's disease. Congenital adrenal hyperplasia,Consult a doctor,Consult a doctor,Consult a doctor,"Thinning of skin, Gastrointestinal perforation, Decreased potassium level in blood, Muscle weakness, Irregular menstrual cycle, High blood pressure, Increased glucose level in blood, Sodium retention, Fluid retention, Hypokalemic alkalosis, Steroid myopathy, Osteoporosis, Compression fracture, Necrosis of femoral and humeral heads, Peptic ulcer, Pancreatic inflammation, Delayed wound healing, Bruising, Petechiae (red or purple spot caused by bleeding into the skin), Ecchymosis (discoloration of the skin resulting from bleeding underneath), Excessive hair growth on face, Acneiform eruptions, Facial swelling, Mental impairment, Convulsion, Increased intracranial pressure, Vertigo, Cushingoid syndrome, Growth retardation in children, Increased intraocular pressure, Posterior subcapsular cataract, Carbohydrate intolerance, Latent diabetes mellitus, Negative nitrogen balance","Fludrocortisone (100mcg), HORMONES"
